City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zempoala,19.45,-96.4167,26.06,79,100,1.44,MX,1719759715
83,west island,-12.1568,96.8225,26.99,78,40,7.2,CC,1719759717
84,whitehorse,60.7161,-135.0538,15.45,62,99,5.36,CA,1719759720
85,hithadhoo,-0.6,73.0833,28.82,72,42,2.96,MV,1719759722
86,port alfred,-33.5906,26.891,16.21,86,43,0.89,ZA,1719759724
87,paracuru,-3.41,-39.0306,28.95,57,67,5.9,BR,1719759726
88,brookings,44.3114,-96.7984,18.36,62,4,2.55,US,1719759728
89,chul'man,56.8479,124.9104,12.86,91,44,0.92,RU,1719759729
90,balnearia,-31.0088,-62.6673,13.13,30,26,8.46,AR,1719759731
91,dalnegorsk,44.5604,135.5701,15.88,98,100,0.83,RU,1719759732
92,mogocha,53.7333,119.7667,15.87,68,73,1.02,RU,1719759734
93,anadyr,64.75,177.4833,4.28,100,40,4.0,RU,1719759735
94,mount gambier,-37.8333,140.7667,8.28,80,99,2.3,AU,1719759737
95,punta arenas,-53.15,-70.9167,0.06,100,40,4.63,CL,1719759738
96,arkalyk,50.2486,66.9114,15.28,61,89,6.52,KZ,1719759741
97,colonia,50.9333,6.95,22.29,67,75,5.66,DE,1719759516
98,lata,40.1629,-8.3327,20.51,61,97,3.57,PT,1719759744
99,san bernardo del viento,9.3533,-75.9524,29.42,72,11,1.78,CO,1719759746
100,vila franca do campo,37.7167,-25.4333,23.23,99,56,4.32,PT,1719759747
101,castillos,-34.1667,-53.8333,8.44,56,6,4.88,UY,1719759749
102,port elizabeth,-33.918,25.5701,17.83,83,86,0.89,ZA,1719759710
103,arraial do cabo,-22.9661,-42.0278,20.91,66,99,4.64,BR,1719759752
104,fort bragg,35.139,-79.006,34.55,67,0,3.6,US,1719759754
105,chadron,42.8294,-102.9999,20.86,61,22,4.92,US,1719759755
106,bredasdorp,-34.5322,20.0403,15.5,76,2,4.1,ZA,1719759757
107,st. john's,47.5649,-52.7093,16.2,81,100,0.89,CA,1719759758
108,revda,56.801,59.9303,16.54,63,1,2.55,RU,1719759760
109,kuhsan,34.6539,61.1978,32.83,18,16,11.34,AF,1719759761
110,ponta delgada,37.7333,-25.6667,23.4,68,75,6.17,PT,1719759763
111,mafeteng,-29.823,27.2374,13.2,43,17,1.9,LS,1719759765
112,khandyga,62.6667,135.6,13.88,60,99,2.14,RU,1719759766
113,olonkinbyen,70.9221,-8.7187,4.85,83,100,1.54,SJ,1719759768
114,al wafrah,28.6392,47.9306,42.72,6,21,4.43,KW,1719759769
115,dunedin,-45.8742,170.5036,8.78,76,100,4.45,NZ,1719759609
116,sao jose da coroa grande,-8.8978,-35.1478,25.95,75,100,2.88,BR,1719759772
117,conception bay south,47.4999,-52.9981,16.07,81,100,6.52,CA,1719759774
118,conceicao do araguaia,-8.2578,-49.2647,36.11,20,5,2.33,BR,1719759775
119,noshiro,40.2039,140.0242,22.8,97,100,9.9,JP,1719759777
120,dzuunharaa,48.8523,106.4579,17.05,77,33,1.92,MN,1719759577
121,nova sintra,14.8667,-24.7167,20.7,79,3,5.07,CV,1719759780
122,ust-nera,64.5667,143.2,8.29,74,8,0.86,RU,1719759782
123,karratha,-20.7377,116.8463,20.78,40,0,5.85,AU,1719759783
124,georgetown,5.4112,100.3354,29.97,79,40,1.54,MY,1719759765
125,quezon,7.7303,125.0989,23.9,95,100,0.24,PH,1719759762
126,kingston,17.997,-76.7936,32.31,61,10,1.67,JM,1719759788
127,watsa,3.0372,29.5355,23.94,70,93,1.19,CD,1719759789
128,hermanus,-34.4187,19.2345,16.56,77,62,3.1,ZA,1719759791
129,ovalle,-30.5983,-71.2003,22.47,20,0,1.19,CL,1719759792
130,robore,-18.3333,-59.75,14.93,41,96,2.02,BO,1719759794
131,hailey,43.5196,-114.3153,21.0,42,0,0.0,US,1719759795
132,college,64.8569,-147.8028,19.33,73,96,0.45,US,1719759797
133,alice springs,-23.7,133.8833,11.75,100,100,5.14,AU,1719759798
134,port douglas,-16.4833,145.4667,22.32,83,74,3.02,AU,1719759758
135,shasta lake,40.6804,-122.3708,25.35,42,44,0.45,US,1719759801
136,poddebice,51.8934,18.9573,33.93,41,14,8.71,PL,1719759802
137,sawakin,19.1059,37.3321,39.74,32,61,3.81,SD,1719759804
138,yanam,16.7333,82.2167,25.9,93,100,1.13,IN,1719759805
139,sao tome,0.3365,6.7273,26.18,76,43,4.57,ST,1719759807
140,minab,27.1467,57.0801,35.88,41,9,3.85,IR,1719759809
141,vernon,50.2581,-119.2691,16.27,86,100,1.84,CA,1719759810
142,punta cardon,11.6581,-70.215,29.03,66,80,9.87,VE,1719759812
143,puerto maldonado,-12.6,-69.1833,17.96,76,100,2.05,PE,1719759814
144,weno,7.4515,151.8468,28.18,78,79,6.13,FM,1719759815
145,esikhaleni,-28.871,31.8996,20.82,54,0,2.38,ZA,1719759817
146,arevalo,41.0626,-4.7204,20.72,48,100,1.53,ES,1719759819
147,goias,-15.5807,-49.6362,30.53,20,0,2.15,BR,1719759764
148,port mathurin,-19.6833,63.4167,23.13,80,2,11.38,MU,1719759823
149,talnakh,69.4865,88.3972,7.49,64,100,1.4,RU,1719759824
150,san rafael,-34.6177,-68.3301,15.81,17,42,1.27,AR,1719759826
151,abaza,52.655,90.0928,17.81,95,100,1.26,RU,1719759827
152,longyearbyen,78.2186,15.6401,10.91,43,0,7.72,SJ,1719759829
153,lompoc,34.6391,-120.4579,15.08,98,20,2.57,US,1719759786
154,vila velha,-20.3297,-40.2925,27.76,99,58,6.63,BR,1719759834
155,navrongo,10.8956,-1.0921,36.71,33,68,2.3,GH,1719759835
156,faranah,10.0404,-10.7434,27.67,77,100,2.48,GN,1719759837
157,prince albert,53.2001,-105.7677,15.56,64,1,3.75,CA,1719759825
158,ryotsu-minato,38.0833,138.4333,23.95,90,100,10.71,JP,1719759831
159,urbano santos,-3.2078,-43.4036,33.78,43,12,2.05,BR,1719759842
160,bodo,67.28,14.405,16.92,55,0,2.57,NO,1719759844
161,san pedro pochutla,15.7333,-96.4667,25.4,94,100,1.06,MX,1719759570
162,al artawiyah,26.5053,45.3444,41.15,6,37,5.73,SA,1719759846
163,tabora,-5.0167,32.8,27.99,25,44,1.97,TZ,1719759709
164,malanje,-9.5402,16.341,30.25,17,56,0.99,AO,1719759849
165,atafu village,-8.5421,-172.5159,28.45,78,8,8.2,TK,1719759851
166,la ronge,55.1001,-105.2842,16.83,58,0,3.06,CA,1719759852
167,tobelo,1.7284,128.0095,26.35,83,100,0.66,ID,1719759856
168,kabompo,-13.5927,24.2008,27.8,21,1,1.47,ZM,1719759857
169,hawaiian paradise park,19.5933,-154.9731,20.73,98,100,3.6,US,1719759859
170,pauri,30.15,78.7833,22.22,90,18,0.94,IN,1719759861
171,vorgashor,67.5833,63.95,7.21,84,100,6.3,RU,1719759582
172,zambezi,-13.5432,23.1047,27.93,20,1,1.54,ZM,1719759863
173,udachny,66.4167,112.4,11.29,76,70,0.56,RU,1719759865
174,enewetak,11.3474,162.3373,28.13,79,98,7.17,MH,1719759867
175,lobujya,27.95,86.8167,5.76,93,97,2.49,NP,1719759868
176,isafjordur,66.0755,-23.124,18.02,55,75,6.17,IS,1719759870
177,kapuskasing,49.4169,-82.4331,14.55,42,11,4.53,CA,1719759873
178,nadym,65.5333,72.5167,14.04,70,100,5.21,RU,1719759877
179,pesaro,43.9036,12.8903,32.23,71,12,1.85,IT,1719759878
180,marica,-22.9194,-42.8186,18.95,75,100,2.6,BR,1719759880
181,hamilton,39.1834,-84.5333,27.43,72,0,2.24,US,1719759402
182,utrik,11.2278,169.8474,27.79,79,100,7.75,MH,1719759883
183,tympaki,35.0729,24.7685,29.5,42,0,8.49,GR,1719759884
184,chamical,-30.36,-66.314,11.59,29,0,3.14,AR,1719759888
185,keflavik,64.0049,-22.5624,11.24,100,75,16.46,IS,1719759893
186,lincoln city,44.9582,-124.0179,17.25,96,100,1.78,US,1719759665
187,keren,15.7778,38.4581,28.56,37,64,4.01,ER,1719759899
188,shalkar,47.8288,59.6258,15.07,61,100,7.63,KZ,1719759902
189,conceicao da barra,-18.5933,-39.7322,27.65,61,31,3.14,BR,1719759904
190,terrace,54.5163,-128.6035,14.95,100,100,3.09,CA,1719759905
191,caleta de carquin,-11.0925,-77.6267,19.7,75,40,4.83,PE,1719759907
192,bogotol,56.2078,89.5342,20.39,88,94,3.09,RU,1719759909
193,jamestown,42.097,-79.2353,20.25,83,70,6.02,US,1719759913
194,xinqing,48.2333,129.5,9.8,69,0,0.9,CN,1719759916
195,arno,60.1167,18.6333,14.88,93,100,2.97,SE,1719759920
196,olinda,-8.0089,-34.8553,28.85,65,75,2.57,BR,1719759921
197,shadegan,30.6497,48.6647,45.4,4,4,4.8,IR,1719759923
198,sinabang,2.4803,96.3801,27.26,78,98,1.29,ID,1719759925
199,bel ombre,-4.6167,55.4167,26.68,84,8,8.05,SC,1719759926
200,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,93,0,3.0,RU,1719759929
201,liwale,-9.7667,37.9333,26.1,39,28,1.84,TZ,1719759676
202,polyarnyy,69.1989,33.4478,10.83,90,100,3.05,RU,1719759931
203,carutapera,-1.195,-46.02,30.61,63,37,3.65,BR,1719759933
204,barabai,-2.5833,115.3833,23.61,98,92,0.68,ID,1719759934
205,dudinka,69.4058,86.1778,7.9,58,100,1.53,RU,1719759936
206,puerto aysen,-45.4,-72.7,4.91,100,100,2.2,CL,1719759877
207,trapani,37.8333,12.6667,36.26,49,4,3.68,IT,1719759759
208,nouadhibou,20.931,-17.0347,26.99,54,8,7.2,MR,1719759940
209,howard springs,-12.497,131.047,25.95,92,78,1.7,AU,1719759942
210,santa margherita ligure,44.3346,9.212,26.17,85,27,0.89,IT,1719759943
211,la passe,45.5549,-0.8967,24.13,70,20,4.38,FR,1719759945
212,cole harbour,44.6724,-63.4751,16.66,95,100,4.02,CA,1719759947
213,anaconda,46.1285,-112.9423,17.55,55,69,1.16,US,1719759948
214,longquan,24.6719,102.1613,19.94,97,100,1.76,CN,1719759950
215,midvagur,62.0511,-7.1939,11.46,87,20,7.2,FO,1719759951
216,novodvinsk,64.4165,40.8122,21.86,46,79,3.73,RU,1719759953
217,magong,23.5654,119.5863,29.21,84,91,7.3,TW,1719759954
218,plettenberg bay,-34.0527,23.3716,15.93,78,100,1.16,ZA,1719759956
219,san jose,37.3394,-121.895,22.36,66,0,1.54,US,1719759957
220,doembang nangbuat,14.8333,100.1,27.81,67,100,3.64,TH,1719759959
221,prado,-17.3411,-39.2208,26.17,63,88,2.93,BR,1719759960
222,stepnoye,51.4,46.8667,25.8,34,65,3.1,RU,1719759962
223,tongchuan,35.0806,109.0897,20.3,74,100,2.0,CN,1719759964
224,sukabumi,-6.9181,106.9267,22.06,98,79,0.59,ID,1719759967
225,concepcion,-36.827,-73.0498,7.89,81,75,1.54,CL,1719759968
226,port macquarie,-31.4333,152.9167,13.83,98,99,1.34,AU,1719759970
227,concepcion del uruguay,-32.4825,-58.2372,11.81,49,4,4.2,AR,1719759949
228,taoudenni,22.6783,-3.9836,47.76,5,0,7.92,ML,1719759973
229,avarua,-21.2078,-159.775,24.03,94,75,4.12,CK,1719759974
230,juan griego,11.0817,-63.9655,29.31,72,48,6.73,VE,1719759976
231,pacific grove,36.6177,-121.9166,18.01,88,0,1.79,US,1719759977
232,pedernales,18.0384,-71.744,30.43,58,3,2.96,DO,1719759979
233,tura,25.5198,90.2201,24.45,98,100,3.23,IN,1719759909
234,qoryooley,1.7878,44.53,25.81,75,49,7.94,SO,1719759985
235,koryazhma,61.3143,47.1691,22.65,70,87,3.72,RU,1719759988
236,kapa'a,22.0752,-159.319,22.99,89,7,4.5,US,1719759990
237,taulaga,-11.0553,-171.0883,28.14,74,33,9.3,AS,1719759991
238,colon,9.3592,-79.9014,28.97,80,14,2.24,PA,1719759876
239,price,39.5994,-110.8107,24.59,46,0,4.12,US,1719759994
240,gabes,33.8815,10.0982,32.73,46,0,7.77,TN,1719759996
241,urcos,-13.6861,-71.6228,15.94,54,74,0.89,PE,1719759999
242,jayapura,-2.5333,140.7,24.66,91,100,1.48,ID,1719759984
243,broome,42.2506,-75.833,27.43,80,75,3.6,US,1719760002
244,holualoa,19.6228,-155.9522,20.91,86,0,1.54,US,1719760003
245,kuqa,41.7278,82.9364,29.7,27,15,4.74,CN,1719760005
246,vysokiy,58.35,60.05,17.84,68,62,1.89,RU,1719760007
247,kismayo,-0.3582,42.5454,26.08,79,64,7.59,SO,1719760008
248,bandarbeyla,9.4942,50.8122,25.9,76,99,13.12,SO,1719760010
249,akranes,64.3218,-22.0749,11.31,86,95,11.16,IS,1719760011
250,tvoroyri,61.5556,-6.8111,9.88,88,23,5.32,FO,1719760013
251,valley city,46.9233,-98.0032,17.29,55,0,3.6,US,1719760014
252,al ghayzah,16.2079,52.176,30.6,70,65,4.05,YE,1719760015
253,geraldton,-28.7667,114.6,11.23,87,0,4.12,AU,1719759974
254,stephenville,32.2207,-98.2023,30.09,64,0,3.09,US,1719760018
255,callaway,30.153,-85.5699,31.62,79,40,1.34,US,1719760020
256,nagqu,31.5,92.0,7.52,54,4,2.82,CN,1719760021
257,haiku-pauwela,20.9219,-156.3051,20.49,74,0,1.34,US,1719760023
258,anatuya,-28.4606,-62.8347,15.77,23,0,5.44,AR,1719760024
259,erenhot,43.6475,111.9767,20.88,48,57,1.9,CN,1719759753
260,mount isa,-20.7333,139.5,20.87,64,37,4.63,AU,1719760027
261,saint-francois,46.4154,3.9054,19.69,71,100,2.06,FR,1719760029
262,tehachapi,35.1322,-118.449,26.13,37,0,4.47,US,1719760030
263,farafangana,-22.8167,47.8333,19.32,79,1,2.38,MG,1719760032
264,faya-largeau,17.9257,19.1043,42.07,8,100,1.3,TD,1719760033
265,taguatinga,-12.3857,-46.5711,34.53,19,84,2.51,BR,1719760035
266,sumbawa besar,-8.5,117.4333,22.77,92,86,2.38,ID,1719760036
267,fale old settlement,-9.3852,-171.2468,28.66,77,42,9.36,TK,1719760037
268,suifenhe,44.4,131.1667,13.95,97,93,2.54,CN,1719760039
269,conde,-7.2597,-34.9075,28.7,65,75,5.66,BR,1719760041
270,forster,-32.1667,152.5167,11.83,100,100,5.67,AU,1719760024
271,ola,59.5833,151.2833,8.02,99,100,4.71,RU,1719760044
272,varna,43.2167,27.9167,29.08,54,0,5.66,BG,1719760045
273,conduaga,8.862,117.4893,26.32,84,100,1.21,PH,1719760047
274,puerto baquerizo moreno,-0.9,-89.6,20.55,100,100,4.12,EC,1719760048
275,pagar alam,-4.0167,103.2667,20.81,99,100,0.62,ID,1719760050
276,sitka,57.0531,-135.33,12.94,88,100,0.0,US,1719760051
277,muli,2.9167,73.5667,28.85,74,28,2.97,MV,1719760052
278,impfondo,1.6381,18.0667,35.31,28,92,0.29,CG,1719760054
279,yuktae-dong,40.0247,128.1597,20.57,93,4,2.16,KP,1719760058
280,kon tum,14.35,108.0,22.45,97,100,0.53,VN,1719760043
281,labrador city,52.9463,-66.9114,9.15,93,100,3.44,CA,1719760061
282,cabo san lucas,22.8909,-109.9124,31.61,54,0,1.03,MX,1719760062
283,vilyuchinsk,52.9306,158.4028,13.08,85,83,0.43,RU,1719759796
284,baruun-urt,46.6806,113.2792,17.74,69,81,3.55,MN,1719759626
285,kodiak,57.79,-152.4072,8.73,100,100,5.66,US,1719760068
286,belmonte,-15.8631,-38.8828,26.75,60,38,1.94,BR,1719760069
287,palikir - national government center,6.9248,158.1611,27.41,89,75,1.54,FM,1719760070
288,arkhangel'sk,64.5401,40.5433,22.06,49,20,6.0,RU,1719760072
289,prince rupert,54.3161,-130.3201,12.45,95,100,1.52,CA,1719760073
290,altamira,-3.2033,-52.2064,31.88,54,6,1.61,BR,1719760075
291,palangkaraya,-2.2,113.8333,23.67,97,91,0.26,ID,1719759548
292,zhezqazghan,47.7833,67.7667,22.32,26,0,8.0,KZ,1719760078
293,retreat,38.8245,-85.8533,27.12,70,10,1.79,US,1719760079
294,labasa,-16.4167,179.3833,22.66,87,77,4.24,FJ,1719760081
295,tual,-5.6667,132.75,26.7,85,100,6.6,ID,1719760082
296,bayanhongor,46.7167,100.1167,13.37,62,50,1.03,MN,1719759616
297,acarau,-2.8856,-40.12,30.07,60,17,5.5,BR,1719760085
298,sisimiut,66.9395,-53.6735,4.11,93,100,4.13,GL,1719760087
299,mo i rana,66.3128,14.1428,14.26,86,75,1.54,NO,1719760088
300,el realejo,12.5431,-87.1647,28.3,78,50,0.94,NI,1719760090
301,portales,34.1862,-103.3344,28.74,53,41,4.7,US,1719760091
302,sao joao do paraiso,-15.3136,-42.0144,29.74,22,28,3.4,BR,1719760093
303,new norfolk,-42.7826,147.0587,6.07,93,67,1.16,AU,1719759938
304,malango,-2.9627,119.9001,19.69,98,60,0.81,ID,1719760095
305,port isabel,26.0734,-97.2086,31.14,70,40,7.72,US,1719760097
306,vadso,70.0744,29.7487,9.49,93,100,4.63,NO,1719760099
307,priozersk,61.0393,30.1291,22.75,39,100,3.5,RU,1719760100
308,kailua-kona,19.6406,-155.9956,22.98,89,0,1.54,US,1719760104
309,remire-montjoly,4.9167,-52.2667,32.02,62,75,2.06,GF,1719759875
310,east london,-33.0153,27.9116,21.32,73,100,2.75,ZA,1719759945
311,igreja,15.0333,-24.3333,24.68,69,4,4.42,CV,1719760109
